nb_chemin,nombre_de_generation,distance,temps_mis_execution
30,120,10954.87112565845,40503796
30,120,12192.363114519208,44143978
30,120,12971.121496574026,41462174
30,120,11585.573090446182,40330243
30,120,11585.373127202738,40622293
30,120,12059.256563392637,40524014
30,120,11484.76995896094,40788257
30,120,13015.96288858472,40148864
30,120,11456.458436649593,40646810
30,120,11770.139667629173,40284860
30,120,11762.427980496395,42126831
30,120,12848.976776049289,41968891
30,120,11847.19685008113,40257940
30,120,12335.891536201552,39874304
30,120,12445.550948163836,39980488
30,120,11646.191019153943,40499739
30,120,12009.87343004238,42035797
30,120,13207.155742488576,43393601
30,120,12913.09732979341,45863131
30,120,12235.478203835219,42312698
30,120,11374.50962854455,40865211
30,120,13002.564162549248,40428594
30,120,13338.223235911464,46076291
30,120,12438.625155697235,46011324
30,120,11972.896630755346,45858012
30,120,12525.101874173813,44742745
30,120,12875.374028039265,44762242
30,120,11241.497847588389,45730111
30,500,10959.648099474001,191025842
30,500,11453.329694875689,188545096
30,500,11017.89922036063,177530057
30,500,11977.20194895302,175432556
30,500,11526.587855213647,177095653
30,500,11496.07163634242,177756681
30,500,12169.638907742858,184237679
30,500,12017.095055869331,194835061
30,500,10627.170440010845,199270494
30,500,11312.250890852758,192867858
30,500,11225.725968465194,173662506
30,500,10014.310315560062,179184300
30,500,10967.33792507882,187282218
30,500,12322.22993888498,174803931
30,500,11872.689854695835,174402731
30,500,11139.682007004723,182698937
30,500,11570.147739244943,183775810
30,500,11299.143443940839,187849117
30,500,11446.196460064362,185434277
30,500,10968.076312619649,187392677
30,500,10982.56959324413,180098121
30,500,11661.386007758661,173113959
30,500,10860.424723852992,172566098
30,500,11417.375244546303,173618024
30,500,11634.292687297355,174287016
30,500,11548.52257599277,175674396
30,500,10705.077635622407,176621928
30,500,11670.589696608322,175691431
30,500,11250.217914693241,177077814
30,500,10700.760081598699,182650063
30,500,11800.533919326943,179183953
30,500,12041.890226744734,184048280
30,500,11230.537319370249,207242226
30,500,12032.98428472013,224316940
30,500,11473.092218816828,174459853
30,500,11606.555858774967,174247167
30,500,11996.131464679904,176033492
30,500,11342.006128724548,174536198
30,500,10640.387377423,175736200
30,500,11462.678715908942,173520997
30,1000,10884.50043331084,349436890
30,1000,11523.042778553205,345288129
30,1000,11307.320619650294,342314754
30,1000,11787.651659688574,347284132
30,1000,11082.444986832357,343548811
30,1000,11443.947056133595,344151274
30,1000,11787.930778724578,348900063
30,1000,11630.515036132421,343926568
30,1000,11120.330902961228,345199873
30,1000,11047.255442336806,346663882
30,1000,11654.79120408132,346025417
